data_source,year,week,age_group,hsp_rate_rsv
Entire Network (RSV-NET),2018,44,40-49,0.1
Entire Network (RSV-NET),2018,45,40-49,0.1
Entire Network (RSV-NET),2018,46,40-49,0.1
Entire Network (RSV-NET),2018,47,40-49,0
Entire Network (RSV-NET),2018,48,40-49,0.1
Entire Network (RSV-NET),2018,49,40-49,0
Entire Network (RSV-NET),2018,50,40-49,0.2
Entire Network (RSV-NET),2018,51,40-49,0.2
Entire Network (RSV-NET),2018,52,40-49,0.2
Entire Network (RSV-NET),2019,1,40-49,0.3
Entire Network (RSV-NET),2019,2,40-49,0.3
Entire Network (RSV-NET),2019,3,40-49,0.2
Entire Network (RSV-NET),2019,4,40-49,0.2
Entire Network (RSV-NET),2019,5,40-49,0.4
Entire Network (RSV-NET),2019,6,40-49,0.3
Entire Network (RSV-NET),2019,7,40-49,0.3
Entire Network (RSV-NET),2019,8,40-49,0.2
Entire Network (RSV-NET),2019,9,40-49,0.1
Entire Network (RSV-NET),2019,10,40-49,0.2
Entire Network (RSV-NET),2019,11,40-49,0.2
Entire Network (RSV-NET),2019,12,40-49,0.1
Entire Network (RSV-NET),2019,13,40-49,0.1
Entire Network (RSV-NET),2019,14,40-49,0.1
Entire Network (RSV-NET),2019,15,40-49,0
Entire Network (RSV-NET),2019,16,40-49,0.1
Entire Network (RSV-NET),2019,17,40-49,0
Entire Network (RSV-NET),2019,18,40-49,0
Entire Network (RSV-NET),2018,40,5-11,0.1
Entire Network (RSV-NET),2018,41,5-11,0.2
Entire Network (RSV-NET),2018,42,5-11,0.2
Entire Network (RSV-NET),2018,43,5-11,0
Entire Network (RSV-NET),2018,44,5-11,0.1
Entire Network (RSV-NET),2018,45,5-11,0.3
Entire Network (RSV-NET),2018,46,5-11,0.1
Entire Network (RSV-NET),2018,47,5-11,0.2
Entire Network (RSV-NET),2018,48,5-11,0.3
Entire Network (RSV-NET),2018,49,5-11,0.4
Entire Network (RSV-NET),2018,50,5-11,0.3
Entire Network (RSV-NET),2018,51,5-11,0.7
Entire Network (RSV-NET),2018,52,5-11,0.3
Entire Network (RSV-NET),2019,1,5-11,0.4
Entire Network (RSV-NET),2019,2,5-11,0.4
Entire Network (RSV-NET),2019,3,5-11,0.5
Entire Network (RSV-NET),2019,4,5-11,0.5
Entire Network (RSV-NET),2019,5,5-11,0.5
Entire Network (RSV-NET),2019,6,5-11,0.5
Entire Network (RSV-NET),2019,7,5-11,0.4
Entire Network (RSV-NET),2019,8,5-11,0.5
Entire Network (RSV-NET),2019,9,5-11,0.3
Entire Network (RSV-NET),2019,10,5-11,0.2
Entire Network (RSV-NET),2019,11,5-11,0.2
Entire Network (RSV-NET),2019,12,5-11,0.2
Entire Network (RSV-NET),2019,13,5-11,0
Entire Network (RSV-NET),2019,14,5-11,0.1
Entire Network (RSV-NET),2019,15,5-11,0
