data_source,year,week,age_group,hsp_rate_flu
FluSurv-NET,2017,52,50-64,8.1
FluSurv-NET,2018,1,50-64,11.3
FluSurv-NET,2018,2,50-64,10.6
FluSurv-NET,2018,3,50-64,9.3
FluSurv-NET,2018,4,50-64,8.9
FluSurv-NET,2018,5,50-64,8.4
FluSurv-NET,2018,6,50-64,8.6
FluSurv-NET,2018,7,50-64,7.3
FluSurv-NET,2018,8,50-64,5.6
FluSurv-NET,2018,9,50-64,4.1
FluSurv-NET,2018,10,50-64,3
FluSurv-NET,2018,11,50-64,2.9
FluSurv-NET,2018,12,50-64,2.5
FluSurv-NET,2018,13,50-64,2.4
FluSurv-NET,2018,14,50-64,2.3
FluSurv-NET,2018,15,50-64,1.7
FluSurv-NET,2018,16,50-64,1.2
FluSurv-NET,2018,17,50-64,0.9
FluSurv-NET,2017,40,65+,0.4
FluSurv-NET,2017,41,65+,0.5
FluSurv-NET,2017,42,65+,1.1
FluSurv-NET,2017,43,65+,0.9
FluSurv-NET,2017,44,65+,0.9
FluSurv-NET,2017,45,65+,1.2
FluSurv-NET,2017,46,65+,1.6
FluSurv-NET,2017,47,65+,2.8
FluSurv-NET,2017,48,65+,4.9
FluSurv-NET,2017,49,65+,5.7
FluSurv-NET,2017,50,65+,9.3
FluSurv-NET,2017,51,65+,19.4
