data_source,country,hemisphere,week,year,origin_source,hsp_rate_flu,hsp_rate_rsv,hsp_abs_flu,hsp_abs_rsv,denominator,subtype_a_abs,subtype_b_abs
fluNet,France,NH,17,2018,SENTINEL,0.0029795126771635,0,2,0,67125071,0,2
fluNet,France,NH,17,2018,NONSENTINEL,0.11620099440937649,0.07895708594483275,78,53,67125071,24,54
fluNet,France,NH,18,2018,NONSENTINEL,0.0387336648031255,0.028305370433053246,26,19,67125071,6,20
fluNet,France,NH,18,2018,SENTINEL,0.00148975633858175,0,1,0,67125071,1,0
fluNet,France,NH,19,2018,NONSENTINEL,0.01042829437007225,0.016387319724399246,7,11,67125071,4,3
fluNet,France,NH,19,2018,SENTINEL,0,0,0,0,67125071,0,0
fluNet,France,NH,20,2018,NONSENTINEL,0.0029795126771635,0.005959025354327,2,4,67125071,0,2
fluNet,France,NH,20,2018,SENTINEL,0,0,0,0,67125071,0,0
fluNet,France,NH,40,2018,SENTINEL,0,0,0,0,67125071,0,0
fluNet,France,NH,40,2018,NONSENTINEL,0.005959025354327,0.01936683240156275,4,13,67125071,4,0
fluNet,France,NH,41,2018,SENTINEL,0,0.00148975633858175,0,1,67125071,0,0
fluNet,France,NH,41,2018,NONSENTINEL,0.0208565887401445,0.03277463944879849,14,22,67125071,13,1
fluNet,France,NH,42,2018,SENTINEL,0.00148975633858175,0.004469269015745249,1,3,67125071,1,0
fluNet,France,NH,42,2018,NONSENTINEL,0.0208565887401445,0.08789562397632324,14,59,67125071,13,1
fluNet,France,NH,43,2018,NONSENTINEL,0.017877076062980998,0.1281190451180305,12,86,67125071,12,0
fluNet,France,NH,43,2018,SENTINEL,0.00148975633858175,0.0029795126771635,1,2,67125071,1,0
fluNet,France,NH,44,2018,NONSENTINEL,0.008938538031490499,0.22197369444868076,6,149,67125071,6,0
fluNet,France,NH,44,2018,SENTINEL,0,0,0,0,67125071,0,0
fluNet,France,NH,45,2018,SENTINEL,0.00148975633858175,0.0029795126771635,1,2,67125071,1,0
fluNet,France,NH,45,2018,NONSENTINEL,0.023836101417308,0.2636868719289697,16,177,67125071,15,1
fluNet,France,NH,46,2018,SENTINEL,0.00148975633858175,0.004469269015745249,1,3,67125071,1,0
fluNet,France,NH,46,2018,NONSENTINEL,0.031284883110216745,0.381377622676928,21,256,67125071,18,3
fluNet,France,NH,47,2018,SENTINEL,0.004469269015745249,0.014897563385817499,3,10,67125071,3,0
fluNet,France,NH,47,2018,NONSENTINEL,0.041713177480289,0.8134069608656354,28,546,67125071,26,2
fluNet,France,NH,48,2018,NONSENTINEL,0.0744878169290875,1.2871494765346319,50,864,67125071,47,3
fluNet,France,NH,48,2018,SENTINEL,0.008938538031490499,0.023836101417308,6,16,67125071,6,0
fluNet,France,NH,49,2018,NONSENTINEL,0.11024196905504949,1.6461807541328337,74,1105,67125071,69,5
fluNet,France,NH,49,2018,SENTINEL,0.013407807047235749,0.02532585775588975,9,17,67125071,9,0
fluNet,France,NH,50,2018,SENTINEL,0.0208565887401445,0.02532585775588975,14,17,67125071,14,0
fluNet,France,NH,50,2018,NONSENTINEL,0.13854733948810272,1.7459944288178106,93,1172,67125071,87,6
fluNet,France,NH,51,2018,SENTINEL,0.026815614094471498,0.026815614094471498,18,18,67125071,18,0
fluNet,France,NH,51,2018,NONSENTINEL,0.3843571353540915,1.911357382400385,258,1283,67125071,254,4
fluNet,France,NH,52,2018,SENTINEL,0.031284883110216745,0.013407807047235749,21,9,67125071,21,0
fluNet,France,NH,52,2018,NONSENTINEL,0.7135932861806582,1.8651749359043508,479,1252,67125071,469,10
fluNet,France,NH,1,2019,NONSENTINEL,1.0080757108507488,1.9760659368812175,679,1331,67356052,675,4
fluNet,France,NH,1,2019,SENTINEL,0.046024075164025346,0.014846475859363018,31,10,67356052,31,0
fluNet,France,NH,2,2019,NONSENTINEL,1.3525139507879707,1.5484874321315627,911,1043,67356052,895,16
fluNet,France,NH,2,2019,SENTINEL,0.11728715928896782,0.014846475859363018,79,10,67356052,79,0
fluNet,France,NH,3,2019,SENTINEL,0.16331123445299317,0.01781577103123562,110,12,67356052,110,0
