data_source,country,hemisphere,week,year,age_group,cumulative_cases,denominator
minsal,CHI,sh,48,2022,50-59,38866,19828563
minsal,CHI,sh,48,2022,60-69,42316,19828563
minsal,CHI,sh,48,2022,70-79,36944,19828563
minsal,CHI,sh,48,2022,80+,31174,19828563
minsal,CHI,sh,49,2022,0-5,5194,19828563
minsal,CHI,sh,49,2022,5-17,5038,19828563
minsal,CHI,sh,49,2022,18-49,70017,19828563
minsal,CHI,sh,49,2022,50-59,38951,19828563
minsal,CHI,sh,49,2022,60-69,42430,19828563
minsal,CHI,sh,49,2022,70-79,37090,19828563
minsal,CHI,sh,49,2022,80+,31349,19828563
minsal,CHI,sh,50,2022,0-5,5242,19828563
minsal,CHI,sh,50,2022,5-17,5061,19828563
minsal,CHI,sh,50,2022,18-49,70226,19828563
minsal,CHI,sh,50,2022,50-59,39054,19828563
minsal,CHI,sh,50,2022,60-69,42550,19828563
minsal,CHI,sh,50,2022,70-79,37238,19828563
minsal,CHI,sh,50,2022,80+,31518,19828563
minsal,CHI,sh,51,2022,0-5,5304,19828563
minsal,CHI,sh,51,2022,5-17,5084,19828563
minsal,CHI,sh,51,2022,18-49,70434,19828563
minsal,CHI,sh,51,2022,50-59,39152,19828563
minsal,CHI,sh,51,2022,60-69,42680,19828563
minsal,CHI,sh,51,2022,70-79,37383,19828563
minsal,CHI,sh,51,2022,80+,31717,19828563
minsal,CHI,sh,52,2022,0-5,5363,19828563
minsal,CHI,sh,52,2022,5-17,5117,19828563
minsal,CHI,sh,52,2022,18-49,70727,19828563
minsal,CHI,sh,52,2022,50-59,39282,19828563
minsal,CHI,sh,52,2022,60-69,42859,19828563
minsal,CHI,sh,52,2022,70-79,37566,19828563
minsal,CHI,sh,52,2022,80+,31919,19828563
